City,Country,City Latitude,City Longitude,Max Temperature(C),Humidity(%),Wind Speed(mps),Cloud Coverage(%),CityDateTime
marzuq,LY,23.532479728109877,14.194442084874197,22.65,41.0,3.03,0.0,2020-04-10 18:09:33
hobart,AU,-50.83294010868032,148.94281628941457,13.0,93.0,0.5,75.0,2020-04-10 18:07:31
rikitea,PF,-37.62361807087436,-118.90612728118643,24.92,75.0,2.74,94.0,2020-04-10 18:07:40
new norfolk,AU,-56.44775379100635,134.16647383842917,13.0,93.0,0.5,75.0,2020-04-10 18:09:33
luganville,VU,-15.995730706995758,165.39298320758047,23.8,81.0,2.28,48.0,2020-04-10 18:09:33
sabang,ID,8.829468692364799,94.34329852469614,28.47,77.0,3.24,100.0,2020-04-10 18:09:33
punta arenas,CL,-76.79305396830398,-96.92036178187007,9.0,66.0,7.7,75.0,2020-04-10 18:09:34
kapaa,US,19.751963122917132,-172.61842192221286,20.0,88.0,3.1,1.0,2020-04-10 18:08:25
albany,AU,-85.46410303684809,113.27674121183122,7.78,56.0,11.3,75.0,2020-04-10 18:09:34
alofi,NU,-24.090326010374895,-168.60342381527528,24.0,83.0,2.1,100.0,2020-04-10 18:07:22
gorontalo,ID,1.4979760611318937,122.39070581400688,23.37,85.0,1.64,17.0,2020-04-10 18:09:34
carnarvon,AU,-27.2089033379358,96.20866857462522,25.0,100.0,4.6,77.0,2020-04-10 18:09:34
ajaigarh,IN,24.957861040122566,80.28678432866161,28.97,15.0,0.63,0.0,2020-04-10 18:09:34
pevek,RU,83.35646464090993,171.18717518526051,-19.53,85.0,9.31,32.0,2020-04-10 18:09:34
price,US,37.90669339442637,-110.98565641880059,12.22,25.0,2.1,1.0,2020-04-10 18:08:28
puerto ayora,EC,-15.77255110536126,-104.71662305159316,30.0,66.0,2.6,20.0,2020-04-10 18:09:34
jamestown,SH,-7.237345968090608,-4.899640144099891,3.0,69.0,12.9,90.0,2020-04-10 18:05:21
hermanus,ZA,-81.61319726428604,9.674497074325558,18.33,91.0,1.65,2.0,2020-04-10 18:09:34
bloemfontein,ZA,-29.01567230843564,25.890574948496635,18.0,77.0,2.6,40.0,2020-04-10 18:09:35
vung tau,VN,10.26596514058646,107.65135349203132,27.06,79.0,6.58,85.0,2020-04-10 18:05:28
atar,MR,21.8399285748675,-10.868657523614928,37.48,8.0,6.26,0.0,2020-04-10 18:04:37
cape town,ZA,-71.16450695605242,-17.240915681852726,18.89,82.0,2.1,3.0,2020-04-10 18:09:35
grand gaube,MU,-19.247787458880268,58.34163067399464,26.0,78.0,6.2,40.0,2020-04-10 18:09:35
rio gallegos,AR,-51.388427896922515,-62.53776589999717,15.0,28.0,6.7,40.0,2020-04-10 18:09:35
thompson,CA,71.87220358046918,-88.79815483141432,-1.0,39.0,1.5,75.0,2020-04-10 18:03:04
lebu,CL,-29.071038517308487,-100.11651900726852,16.96,66.0,3.07,25.0,2020-04-10 18:09:35
tevaitoa,PF,-19.02633386948159,-153.57991487829338,28.59,77.0,4.49,62.0,2020-04-10 18:09:35
mataura,PF,-38.58354231635433,-149.69037247583304,5.56,95.0,0.89,6.0,2020-04-10 18:09:36
havelock,US,32.93108258738191,-74.58188486114439,17.0,26.0,9.3,20.0,2020-04-10 18:09:36
butaritari,KI,26.36974457683803,174.50256177231677,28.81,72.0,3.23,100.0,2020-04-10 18:09:36
blackfoot,US,43.14453805529968,-112.30062479608979,16.0,36.0,5.7,1.0,2020-04-10 18:09:36
hithadhoo,MV,-9.735569223918233,77.96090792907125,29.3,63.0,2.37,10.0,2020-04-10 18:07:53
lorengau,PG,-2.253169018168947,148.70073243004526,27.59,77.0,2.39,97.0,2020-04-10 18:09:36
ushuaia,AR,-87.19551003569796,-75.71688269705336,8.0,70.0,10.3,75.0,2020-04-10 18:09:36
